"","am_sid","am_cat","sciname","iucn_sid","pop_trend","pop_cat","spp_group","id_no","iucn_subpop","spatial_source","cat_score","trend_score"
"1118","Fis-29359",NA,"Coryphaenoides rupestris",15522149,"Unknown","CR",NA,NA,NA,"am",0.8,NA
"1120","Fis-33245",NA,"Cottunculus microps",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1127","Fis-47646",NA,"Cottunculus thomsonii",190065,"Unknown","LC",NA,NA,NA,"am",0,NA
"1133","Fis-29877",NA,"Cryptopsaras couesii",190067,"Unknown","LC",NA,NA,NA,"am",0,NA
"1140","Fis-22751",NA,"Crystallogobius linearis",198654,"Stable","LC",NA,NA,NA,"am",0,0
"1141","Fis-23453",NA,"Cubiceps gracilis",198676,"Unknown","LC",NA,NA,NA,"am",0,NA
"1147","Fis-29361",NA,"Cyclopterus lumpus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1154","Fis-31240",NA,"Cyclothone acclinidens",18252612,"Stable","LC",NA,NA,NA,"am",0,0
"1160","Fis-52356",NA,"Cyclothone alba",190300,"Stable","LC",NA,NA,NA,"am",0,0
"1165","Fis-29880",NA,"Cyclothone braueri",198757,"Stable","LC",NA,NA,NA,"am",0,0
"1168","Fis-23454",NA,"Cyclothone microdon",190133,"Stable","LC",NA,NA,NA,"am",0,0
"1171","Fis-23454",NA,"Cyclothone microdon",194902,"Unknown","LC",NA,NA,NA,"am",0,NA
"1174","Fis-32102",NA,"Cyclothone pallida",18252619,"Stable","LC",NA,NA,NA,"am",0,0
"1176","Fis-32103",NA,"Cyclothone pseudopallida",18252629,"Stable","LC",NA,NA,NA,"am",0,0
"1178","Fis-33181",NA,"Cyema atrum",18227109,"Unknown","LC",NA,NA,NA,"am",0,NA
"1183","Fis-53660",NA,"Cyttopsis rosea",16439757,"Stable","LC",NA,NA,NA,"am",0,0
"1189","Fis-23101","NT","Dalatias licha",6229,"Unknown","NT",NA,NA,NA,"am",0.2,NA
"1190","Fis-50433",NA,"Danaphryne nigrifilis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1196","Fis-23103","LC","Deania calcea",41798,"Unknown","LC",NA,NA,NA,"am",0,NA
"1197","Fis-32362","LC","Derichthys serpentinus",155093,"Unknown","LC",NA,NA,NA,"am",0,NA
"1203","Fis-15811",NA,"Diaphus metopoclampus",198613,"Unknown","LC",NA,NA,NA,"am",0,NA
"1205","Fis-23472","LC","Diaphus rafinesquii",154729,"Unknown","LC",NA,NA,NA,"am",0,NA
"1207","Fis-31163",NA,"Dibranchus atlanticus",20663855,"Unknown","LC",NA,NA,NA,"am",0,NA
"1213","Fis-22755","LC","Dicentrarchus labrax",135606,"Unknown","LC",NA,NA,NA,"am",0,NA
"1215","Fis-131824","CR","Dipturus batis",39397,"Decreasing","CR",NA,NA,NA,"am",0.8,-0.5
"1218","Fis-27275",NA,"Diretmoides pauciradiatus",21110056,"Unknown","LC",NA,NA,NA,"am",0,NA
"1226","Fis-31164",NA,"Diretmus argenteus",18124015,"Unknown","LC",NA,NA,NA,"am",0,NA
"1228","Fis-139531",NA,"Dolopichthys allector",42830260,"Unknown","LC",NA,NA,NA,"am",0,NA
"1234","Fis-50449",NA,"Dolopichthys longicornis",190278,"Unknown","LC",NA,NA,NA,"am",0,NA
"1240","Fis-50462",NA,"Dolopichthys pullatus",60470361,"Unknown","DD",NA,NA,NA,"am",NA,NA
"1246","Fis-23113","DD","Echinorhinus brucus",41801,"Unknown","DD",NA,NA,NA,"am",NA,NA
"1248","Fis-127140",NA,"Echiodon dawsoni",190469,"Stable","LC",NA,NA,NA,"am",0,0
"1249","Fis-31237",NA,"Ectreposebastes imus",15622831,"Unknown","LC",NA,NA,NA,"am",0,NA
"1255","Fis-22874",NA,"Eleginus gracilis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1259","Fis-23486",NA,"Enchelyopus cimbrius",15522054,"Unknown","LC",NA,NA,NA,"am",0,NA
"1265","Fis-24553",NA,"Enophrys diceraus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1269","Fis-24013",NA,"Epigonus telescopus",198653,"Unknown","LC",NA,NA,NA,"am",0,NA
"1271","Fis-29383","DD","Etmopterus princeps",60242,"Unknown","DD",NA,NA,NA,"am",NA,NA
"1274","Fis-23124","LC","Etmopterus spinax",161388,"Unknown","LC",NA,NA,NA,"am",0,NA
"1279","Fis-30014",NA,"Euleptorhamphus velox",15521852,"Unknown","LC",NA,NA,NA,"am",0,NA
"1280","Fis-24610",NA,"Eumesogrammus praecisus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1285","Fis-125602",NA,"Eumicrotremus andriashevi",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1290","Fis-30812",NA,"Eumicrotremus derjugini",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1299","Fis-24612",NA,"Eumicrotremus spinosus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1308","Fis-31004",NA,"Eurypharynx pelecanoides",18227119,"Unknown","LC",NA,NA,NA,"am",0,NA
"1314","Fis-22760",NA,"Eutrigla gurnardus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1315","Fis-23502",NA,"Evermannella balbo",194995,"Unknown","LC",NA,NA,NA,"am",0,NA
"1317","Fis-30017",NA,"Exocoetus obtusirostris",190163,"Unknown","LC",NA,NA,NA,"am",0,NA
"1318","Fis-30031",NA,"Gadiculus argenteus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1320","Fis-3399",NA,"Gadiculus thori",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1321","Fis-29394","VU","Gadus morhua",8784,NA,"VU",NA,NA,NA,"am",0.4,NA
"1328","Fis-29395",NA,"Gadus ogac",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1337","Fis-27009",NA,"Gaidropsarus argentatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1342","Fis-27011",NA,"Gaidropsarus ensis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1346","Fis-25233","VU","Galeorhinus galeus",39352,"Decreasing","VU",NA,NA,NA,"am",0.4,-0.5
"1349","Fis-30039","LC","Gasterosteus aculeatus",8951,"Stable","LC",NA,NA,NA,"am",0,0
"1357","Fis-50600",NA,"Gigantactis vanhoeffeni",60470687,"Unknown","DD",NA,NA,NA,"am",NA,NA
"1359","Fis-22723",NA,"Glyptocephalus cynoglossus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1363","Fis-22761",NA,"Gobiusculus flavescens",18159817,"Stable","LC",NA,NA,NA,"am",0,0
"1364","Fis-130702",NA,"Gordiichthys leibyi",199157,"Unknown","LC",NA,NA,NA,"am",0,NA
"1365","Fis-132767",NA,"Guttigadus latifrons",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1370","Fis-116315",NA,"Gymnelus hemifasciatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1379","Fis-47660",NA,"Gymnelus retrodorsalis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1388","Fis-24651","DD","Gymnelus viridis",NA,NA,"DD",NA,NA,NA,"am",NA,NA
"1394","Fis-24653",NA,"Gymnocanthus tricuspis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1403","Fis-30085",NA,"Halargyreus johnsonii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1409","Fis-50614",NA,"Haplophryne mollis",60470770,"Unknown","LC",NA,NA,NA,"am",0,NA
"1415","Fis-31217","LC","Harriotta raleighana",60140,"Stable","LC",NA,NA,NA,"am",0,0
"1417","Fis-22764",NA,"Helicolenus dactylopterus",195093,"Unknown","LC",NA,NA,NA,"am",0,NA
"1422","Fis-24768","LC","Hemilepidotus papilio",154722,"Unknown","LC",NA,NA,NA,"am",0,NA
"1426","Fis-150070",NA,"Hemitripterus americanus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1427","Fis-23157","NT","Hexanchus griseus",10030,"Unknown","NT",NA,NA,NA,"am",0.2,NA
"1429","Fis-30110",NA,"Himantolophus groenlandicus",18127836,"Unknown","LC",NA,NA,NA,"am",0,NA
"1435","Fis-24675",NA,"Hippoglossoides platessoides",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1442","Fis-30819",NA,"Hippoglossoides robustus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1447","Fis-23548","EN","Hippoglossus hippoglossus",10097,NA,"EN",NA,NA,NA,"am",0.6,NA
"1454","Fis-29418",NA,"Hippoglossus stenolepis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1458","Fis-26350",NA,"Histiobranchus bathybius",199249,"Unknown","DD",NA,NA,NA,"am",NA,NA
"1461","Fis-34480",NA,"Holtbyrnia anomala",18155939,"Unknown","LC",NA,NA,NA,"am",0,NA
"1463","Fis-28112",NA,"Holtbyrnia innesi",21104612,"Unknown","LC",NA,NA,NA,"am",0,NA
"1469","Fis-34502",NA,"Holtbyrnia macrops",18155943,"Unknown","LC",NA,NA,NA,"am",0,NA
"1471","Fis-29419",NA,"Hoplostethus atlanticus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1473","Fis-31166",NA,"Hoplostethus mediterraneus",198579,"Unknown","LC",NA,NA,NA,"am",0,NA
"1479","Fis-63099","LC","Hydrolagus pallidus",63103,"Unknown","LC",NA,NA,NA,"am",0,NA
"1484","Fis-25165",NA,"Hygophum reinhardtii",15598887,"Unknown","LC",NA,NA,NA,"am",0,NA
"1487","Fis-49043",NA,"Hygophum taaningi",15598938,"Unknown","LC",NA,NA,NA,"am",0,NA
"1493","Fis-23559",NA,"Hyperoplus lanceolatus",18155982,"Unknown","LC",NA,NA,NA,"am",0,NA
"1494","Fis-24702",NA,"Icelus bicornis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1503","Fis-30828",NA,"Icelus spatula",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1512","Fis-58485","VU","Isurus oxyrinchus",39341,"Decreasing","VU",NA,NA,NA,"am",0.4,-0.5
"1514","Fis-22768","VU","Lamna nasus",11200,"Decreasing","VU",NA,NA,NA,"am",0.4,-0.5
"1520","Fis-49988",NA,"Lampadena speculigera",60471855,"Unknown","LC",NA,NA,NA,"am",0,NA
"1522","Fis-23165",NA,"Lampanyctus crocodilus",198618,"Unknown","LC",NA,NA,NA,"am",0,NA
"1529","Fis-32123",NA,"Lampanyctus intricarius",15599070,"Unknown","LC",NA,NA,NA,"am",0,NA
"1531","Fis-48156",NA,"Lampanyctus photonotus",60471860,"Unknown","LC",NA,NA,NA,"am",0,NA
"1537","Fis-23167",NA,"Lampanyctus pusillus",198619,"Unknown","LC",NA,NA,NA,"am",0,NA
"1539","Fis-25147","LC","Lampetra fluviatilis",NA,NA,"LC",NA,NA,NA,"am",0,NA
"1540","Fis-23580",NA,"Lampris guttatus",195038,"Unknown","LC",NA,NA,NA,"am",0,NA
"1545","Fis-124376",NA,"Lasiognathus beebei",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1551","Fis-24087","DD","Lepidion eques",154838,"Unknown","DD",NA,NA,NA,"am",NA,NA
"1555","Fis-132062",NA,"Lepidopus altifrons",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1556","Fis-22725",NA,"Lepidorhombus whiffiagonis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1557","Fis-24406",NA,"Leptagonus decagonus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1565","Fis-49057",NA,"Leptoclinus maculatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1574","Fis-63912","LC","Lethenteron camtschaticum",135719,"Unknown","LC",NA,NA,NA,"am",0,NA
"1581","Fis-132546","NT","Leucoraja fullonica",161461,"Decreasing","VU",NA,NA,NA,"am",0.4,-0.5
"1583","Fis-11256",NA,"Limanda aspera",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1585","Fis-12972",NA,"Limanda limanda",18214863,"Increasing","LC",NA,NA,NA,"am",0,0.5
"1587","Fis-17283",NA,"Limanda proboscidea",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1592","Fis-50631",NA,"Linophryne coronata",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1598","Fis-24741","LC","Liopsetta glacialis",135574,"Unknown","LC",NA,NA,NA,"am",0,NA
"1607","Fis-125615",NA,"Liparis bristolensis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1612","Fis-47519",NA,"Liparis fabricii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1621","Fis-30835",NA,"Liparis gibbus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1630","Fis-23598","LC","Liparis liparis",154644,"Unknown","LC",NA,NA,NA,"am",0,NA
"1635","Fis-23599",NA,"Liparis montagui",18237707,"Unknown","LC",NA,NA,NA,"am",0,NA
"1637","Fis-30842",NA,"Liparis tunicatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1646","Fis-23605",NA,"Lobianchia gemellarii",190425,"Unknown","LC",NA,NA,NA,"am",0,NA
"1648","Fis-29433",NA,"Lophius piscatorius",198610,"Unknown","LC",NA,NA,NA,"am",0,NA
"1653","Fis-49079",NA,"Lophodolos acanthognathus",190157,"Unknown","LC",NA,NA,NA,"am",0,NA
"1659","Fis-24751",NA,"Lumpenus fabricii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1668","Fis-47903",NA,"Lumpenus lampretaeformis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1675","Fis-30255",NA,"Luvarus imperialis",190116,"Unknown","LC",NA,NA,NA,"am",0,NA
"1677","Fis-116692",NA,"Lycenchelys alba",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1683","Fis-47451",NA,"Lycenchelys kolthoffi",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1692","Fis-116902",NA,"Lycenchelys paxillus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1693","Fis-47668",NA,"Lycenchelys sarsii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1698","Fis-58175",NA,"Lycodes esmarkii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1705","Fis-57414",NA,"Lycodes eudipleurostictus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1714","Fis-47448",NA,"Lycodes frigidus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1723","Fis-62883",NA,"Lycodes gracilis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1729","Fis-30261","LC","Lycodes jugoricus",154953,"Unknown","LC",NA,NA,NA,"am",0,NA
"1737","Fis-60119",NA,"Lycodes lavalaei",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1738","Fis-62488",NA,"Lycodes mucosus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1743","Fis-143668","LC","Lycodes paamiuti",155204,"Unknown","LC",NA,NA,NA,"am",0,NA
"1750","Fis-30263",NA,"Lycodes palearis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1757","Fis-30264",NA,"Lycodes pallidus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1766","Fis-24756",NA,"Lycodes polaris",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1775","Fis-117079",NA,"Lycodes raridens",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1780","Fis-30265",NA,"Lycodes reticulatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1784","Fis-30266",NA,"Lycodes rossi",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1793","Fis-30267",NA,"Lycodes sagittarius",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1798","Fis-57417",NA,"Lycodes seminudus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1807","Fis-47447",NA,"Lycodes squamiventer",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1816","Fis-139728",NA,"Lycodes terraenovae",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1822","Fis-30268",NA,"Lycodes turneri",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1827","Fis-47966",NA,"Lycodes vahlii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1832","Fis-49081",NA,"Lycodonus flagellicauda",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1837","Fis-117088",NA,"Lycodonus mirabilis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1838","Fis-22897","LC","Macroramphosus scolopax",155030,"Unknown","LC",NA,NA,NA,"am",0,NA
"1840","Fis-29445",NA,"Macrourus berglax",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1847","Fis-47643",NA,"Magnisudis atlantica",13485635,"Unknown","LC",NA,NA,NA,"am",0,NA
"1852","Fis-54405","LC","Malacoraja spinacidermis",63126,"Unknown","LC",NA,NA,NA,"am",0,NA
"1854","Fis-33790",NA,"Malacosteus niger",190149,"Unknown","LC",NA,NA,NA,"am",0,NA
"1856","Fis-22900",NA,"Mallotus villosus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1865","Fis-33786",NA,"Maulisia mauli",18155946,"Unknown","LC",NA,NA,NA,"am",0,NA
"1867","Fis-23185",NA,"Maurolicus muelleri",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1872","Fis-125893",NA,"Maurolicus weitzmani",190313,"Unknown","LC",NA,NA,NA,"am",0,NA
"1878","Fis-24767",NA,"Megalocottus platycephalus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1882","Fis-26412",NA,"Melamphaes microps",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1884","Fis-51000",NA,"Melamphaes polylepis",60477337,"Unknown","DD",NA,NA,NA,"am",NA,NA
"1890","Fis-50380",NA,"Melanocetus murrayi",42830239,"Unknown","LC",NA,NA,NA,"am",0,NA
"1891","Fis-23633","VU","Melanogrammus aeglefinus",13045,NA,"VU",NA,NA,NA,"am",0.4,NA
"1897","Fis-139729",NA,"Melanolagus bericoides",190485,"Unknown","LC",NA,NA,NA,"am",0,NA
"1902","Fis-30286",NA,"Melanostigma atlanticum",198723,"Unknown","LC",NA,NA,NA,"am",0,NA
"1906","Fis-49711",NA,"Mentodus rostratus",60481184,"Unknown","LC",NA,NA,NA,"am",0,NA
"1911","Fis-22726",NA,"Merlangius merlangus",198585,"Unknown","LC",NA,NA,NA,"am",0,NA
"1912","Fis-22727",NA,"Merluccius merluccius",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1915","Fis-50469",NA,"Microlophichthys microlophus",42830277,"Unknown","LC",NA,NA,NA,"am",0,NA
"1921","Fis-22729",NA,"Micromesistius poutassou",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1927","Fis-23638",NA,"Microstomus kitt",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1930","Fis-23639",NA,"Mola mola",190422,"Decreasing","VU",NA,NA,NA,"am",0.4,-0.5
"1935","Fis-23641",NA,"Molva dypterygia",198592,"Unknown","LC",NA,NA,NA,"am",0,NA
"1942","Fis-22730",NA,"Molva molva",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1948","Fis-29454","LC","Mugil cephalus",135567,"Stable","LC",NA,NA,NA,"am",0,0
"1949","Fis-30329",NA,"Myctophum punctatum",190453,"Stable","LC",NA,NA,NA,"am",0,0
"1953","Fis-24809","LC","Myoxocephalus quadricornis",14214,"Stable","LC",NA,NA,NA,"am",0,0
"1962","Fis-24810",NA,"Myoxocephalus scorpioides",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1971","Fis-23653",NA,"Myoxocephalus scorpius",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1978","Fis-35470",NA,"Myoxocephalus stelleri",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1982","Fis-49777",NA,"Myrophis platyrhynchus",199355,"Unknown","LC",NA,NA,NA,"am",0,NA
"1983","Fis-30334",NA,"Myrophis punctatus",199106,"Unknown","LC",NA,NA,NA,"am",0,NA
"1984","Fis-30336","LC","Myxine glutinosa",196057,"Unknown","LC",NA,NA,NA,"am",0,NA
"1990","Fis-133356",NA,"Myxine limosa",196057,"Unknown","LC",NA,NA,NA,"am",0,NA
"1991","Fis-139573",NA,"Nannobrachium atrum",15600731,"Unknown","LC",NA,NA,NA,"am",0,NA
"1993","Fis-23655",NA,"Nansenia groenlandica",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1995","Fis-23192",NA,"Naucrates ductor",190452,"Stable","LC",NA,NA,NA,"am",0,0
"1997","Fis-32421",NA,"Nesiarchus nasutus",18158583,"Stable","LC",NA,NA,NA,"am",0,0
"1998","Fis-27299",NA,"Nessorhamphus ingolfianus",199401,"Unknown","LC",NA,NA,NA,"am",0,NA
"2004","Fis-25413",NA,"Nezumia aequalis",198597,"Unknown","LC",NA,NA,NA,"am",0,NA
"2008","Fis-14348",NA,"Normichthys operosus",18155949,"Decreasing","LC",NA,NA,NA,"am",0,-0.5
"2010","Fis-30362",NA,"Notacanthus chemnitzii",195852,"Unknown","LC",NA,NA,NA,"am",0,NA
"2012","Fis-140102",NA,"Notoscopelus kroyeri",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2016","Fis-22915",NA,"Oncorhynchus gorbuscha",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2020","Fis-22917",NA,"Oncorhynchus kisutch",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2024","Fis-22920","LC","Oncorhynchus nerka",135301,"Stable","LC",NA,NA,NA,"am",0,0
"2026","Fis-22921",NA,"Oncorhynchus tshawytscha",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2030","Fis-50476",NA,"Oneirodes anisacanthus",67965222,"Unknown","DD",NA,NA,NA,"am",NA,NA
"2035","Fis-50491",NA,"Oneirodes eschrichtii",18128749,"Unknown","LC",NA,NA,NA,"am",0,NA
"2044","Fis-50544",NA,"Oneirodes macrosteus",60482102,"Unknown","LC",NA,NA,NA,"am",0,NA
"2051","Fis-52203","LC","Osmerus dentex",NA,NA,"LC",NA,NA,NA,"am",0,NA
"2060","Fis-22922","LC","Osmerus mordax",202413,"Unknown","LC",NA,NA,NA,"am",0,NA
"2068","Fis-23205","VU","Oxynotus centrina",63141,"Unknown","VU",NA,NA,NA,"am",0.4,NA
"2069","Fis-24846",NA,"Pallasina barbata",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2070","Fis-30458",NA,"Paralepis coregonoides",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2072","Fis-47561",NA,"Paraliparis bathybius",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2079","Fis-132059",NA,"Paraliparis calidus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2080","Fis-146809","DD","Paraliparis copei copei",NA,NA,"DD",NA,NA,NA,"am",NA,NA
"2086","Fis-47563",NA,"Paraliparis garmani",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2087","Fis-47566",NA,"Paraliparis hystrix",18237772,"Unknown","DD",NA,NA,NA,"am",NA,NA
"2092","Fis-30477","LC","Petromyzon marinus",135719,"Unknown","LC",NA,NA,NA,"am",0,NA
"2096","Fis-30477","LC","Petromyzon marinus",16781,"Stable","LC",NA,NA,NA,"am",0,0
"2100","Fis-24892",NA,"Pholis fasciata",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2105","Fis-24893",NA,"Pholis gunnellus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2111","Fis-24267",NA,"Phrynorhombus norvegicus",18227064,"Stable","LC",NA,NA,NA,"am",0,0
"2112","Fis-23722",NA,"Phycis blennoides",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2116","Fis-30490",NA,"Phycis chesteri",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2117","Fis-139713",NA,"Phyllorhinichthys micractis",60482562,"Unknown","LC",NA,NA,NA,"am",0,NA
"2123","Fis-64506",NA,"Physiculus fulvus",190091,"Unknown","LC",NA,NA,NA,"am",0,NA
"2124","Fis-23725","LC","Platichthys flesus",135717,"Decreasing","LC",NA,NA,NA,"am",0,-0.5
"2127","Fis-24899","LC","Platichthys stellatus",19014407,"Stable","LC",NA,NA,NA,"am",0,0
"2131","Fis-34615",NA,"Platytroctes apus",190217,"Unknown","LC",NA,NA,NA,"am",0,NA
"2133","Fis-30498","LC","Pleuronectes platessa",135690,"Increasing","LC",NA,NA,NA,"am",0,0.5
"2138","Fis-24742",NA,"Pleuronectes putnami",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2139","Fis-147788",NA,"Podothecus accipenserinus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2143","Fis-22732",NA,"Pollachius pollachius",18125103,"Unknown","LC",NA,NA,NA,"am",0,NA
"2144","Fis-23728",NA,"Pollachius virens",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2150","Fis-27737",NA,"Pollichthys mauli",190087,"Unknown","LC",NA,NA,NA,"am",0,NA
"2152","Fis-26349",NA,"Polyacanthonotus challengeri",190403,"Unknown","LC",NA,NA,NA,"am",0,NA
"2158","Fis-48118",NA,"Polyacanthonotus rissoanus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2164","Fis-115986",NA,"Polyipnus asteroides",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2165","Fis-115989","LC","Polyipnus clarus",154726,"Unknown","LC",NA,NA,NA,"am",0,NA
"2166","Fis-33795",NA,"Polyipnus polli",21132879,"Unknown","LC",NA,NA,NA,"am",0,NA
"2168","Fis-25434",NA,"Polymetme corythaeola",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2170","Fis-22932","DD","Polyprion americanus",43972,"Unknown","DD",NA,NA,NA,"am",NA,NA
"2175","Fis-23737",NA,"Pomatoschistus minutus",198668,"Stable","LC",NA,NA,NA,"am",0,0
"2176","Fis-23738",NA,"Pomatoschistus norvegicus",198552,"Stable","LC",NA,NA,NA,"am",0,0
"2177","Fis-25469",NA,"Poromitra crassiceps",190239,"Unknown","LC",NA,NA,NA,"am",0,NA
"2182","Fis-50305",NA,"Poromitra megalops",60482859,"Unknown","DD",NA,NA,NA,"am",NA,NA
"2188","Fis-23222","NT","Prionace glauca",39381,"Unknown","NT",NA,NA,NA,"am",0.2,NA
"2190","Fis-63149",NA,"Protomyctophum arcticum",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2194","Fis-30530","DD","Pseudotriakis microdon",44566,"Unknown","LC",NA,NA,NA,"am",0,NA
"2196","Fis-30555",NA,"Pterycombus brama",190330,"Unknown","LC",NA,NA,NA,"am",0,NA
"2199","Fis-24923","LC","Pungitius pungitius",18878,"Stable","LC",NA,NA,NA,"am",0,0
"2208","Fis-30563","NT","Raja clavata",39399,"Decreasing","NT",NA,NA,NA,"am",0.2,-0.5
"2209","Fis-132544","LC","Rajella bigelowi",161371,"Unknown","LC",NA,NA,NA,"am",0,NA
"2211","Fis-131802","LC","Rajella fyllae",161587,"Unknown","LC",NA,NA,NA,"am",0,NA
"2218","Fis-167643","LC","Rajella lintea",NA,NA,"LC",NA,NA,NA,"am",0,NA
"2221","Fis-23757",NA,"Raniceps raninus",18125145,"Unknown","LC",NA,NA,NA,"am",0,NA
"2222","Fis-23758",NA,"Ranzania laevis",193615,"Unknown","LC",NA,NA,NA,"am",0,NA
"2228","Fis-30575",NA,"Regalecus glesne",190378,"Unknown","LC",NA,NA,NA,"am",0,NA
"2232","Fis-23237",NA,"Reinhardtius hippoglossoides",NA,NA,NA,NA,NA,NA,"am",NA,NA
"2241","Fis-24930","LC","Remora brachyptera",155068,"Stable","LC",NA,NA,NA,"am",0,0
"2247","Fis-23759",NA,"Remora remora",198651,"Stable","LC",NA,NA,NA,"am",0,0
"2249","Fis-28178",NA,"Rhadinesthes decimus",18257501,"Unknown","LC",NA,NA,NA,"am",0,NA
"2251","Fis-6099",NA,"Rhinesomus triqueter",190363,"Unknown","LC",NA,NA,NA,"am",0,NA
"2252","Fis-33129","LC","Rhinochimaera atlantica",60145,"Unknown","LC",NA,NA,NA,"am",0,NA
